version,phase,index,started_at_utc,duration_ms,headers_ms,status,body_bytes,cache_status,edge_colo,valid
v0,warmup,0,2026-09-08T14:47:22.539Z,523.519,521.697,200,4,absent,HKG,true
v1,warmup,0,2026-09-08T14:47:23.063Z,290.646,290.050,200,785,REVALIDATED,KIX,true
v0,warmup,1,2026-09-08T14:47:23.455Z,233.584,233.460,200,4,absent,HKG,true
v1,warmup,1,2026-09-08T14:47:23.689Z,60.376,60.072,200,785,HIT,KIX,true
v0,warmup,2,2026-09-08T14:47:23.851Z,228.039,227.701,200,4,absent,HKG,true
v1,warmup,2,2026-09-08T14:47:24.079Z,44.060,43.544,200,785,HIT,KIX,true
v0,warmup,3,2026-09-08T14:47:24.223Z,252.490,251.596,200,4,absent,HKG,true
v1,warmup,3,2026-09-08T14:47:24.475Z,47.536,46.830,200,785,HIT,KIX,true
v0,warmup,4,2026-09-08T14:47:24.624Z,235.638,235.508,200,4,absent,HKG,true
v1,warmup,4,2026-09-08T14:47:24.860Z,45.374,45.085,200,785,HIT,KIX,true
v0,warmup,5,2026-09-08T14:47:25.006Z,245.392,245.018,200,4,absent,HKG,true
v1,warmup,5,2026-09-08T14:47:25.251Z,54.821,54.462,200,785,HIT,KIX,true
v0,warmup,6,2026-09-08T14:47:25.407Z,225.655,225.355,200,4,absent,HKG,true
v1,warmup,6,2026-09-08T14:47:25.632Z,46.684,46.240,200,785,HIT,KIX,true
v0,warmup,7,2026-09-08T14:47:25.780Z,233.080,232.934,200,4,absent,HKG,true
v1,warmup,7,2026-09-08T14:47:26.013Z,44.233,43.831,200,785,HIT,KIX,true
v0,warmup,8,2026-09-08T14:47:26.159Z,299.009,298.778,200,4,absent,HKG,true
v1,warmup,8,2026-09-08T14:47:26.458Z,57.473,56.399,200,785,HIT,KIX,true
v0,warmup,9,2026-09-08T14:47:26.617Z,221.124,220.867,200,4,absent,HKG,true
v1,warmup,9,2026-09-08T14:47:26.838Z,55.350,44.779,200,785,HIT,KIX,true
v1,measured,0,2026-09-08T14:47:26.996Z,53.443,53.284,200,785,HIT,KIX,true
v1,measured,1,2026-09-08T14:47:27.095Z,58.439,58.055,200,785,HIT,KIX,true
v0,measured,0,2026-09-08T14:47:26.996Z,232.468,232.320,200,4,absent,HKG,true
v1,measured,2,2026-09-08T14:47:27.194Z,43.335,43.231,200,785,HIT,KIX,true
v1,measured,3,2026-09-08T14:47:27.295Z,48.706,48.483,200,785,HIT,KIX,true
v1,measured,4,2026-09-08T14:47:27.398Z,49.072,48.838,200,785,HIT,KIX,true
v0,measured,1,2026-09-08T14:47:27.096Z,429.803,429.636,200,4,absent,HKG,true
v0,measured,3,2026-09-08T14:47:27.295Z,232.517,232.462,200,4,absent,HKG,true
v1,measured,5,2026-09-08T14:47:27.495Z,47.278,47.116,200,785,HIT,KIX,true
v0,measured,2,2026-09-08T14:47:27.193Z,352.751,352.647,200,4,absent,NRT,true
v1,measured,6,2026-09-08T14:47:27.595Z,51.767,51.338,200,785,HIT,KIX,true
v0,measured,4,2026-09-08T14:47:27.396Z,310.118,309.828,200,4,absent,HKG,true
v1,measured,7,2026-09-08T14:47:27.696Z,43.674,43.173,200,785,HIT,KIX,true
v0,measured,5,2026-09-08T14:47:27.496Z,325.730,325.505,200,4,absent,HKG,true
v0,measured,6,2026-09-08T14:47:27.594Z,229.678,229.497,200,4,absent,HKG,true
v1,measured,8,2026-09-08T14:47:27.796Z,47.318,47.010,200,785,HIT,KIX,true
v1,measured,9,2026-09-08T14:47:27.895Z,60.595,59.751,200,785,HIT,KIX,true
v0,measured,7,2026-09-08T14:47:27.697Z,273.915,273.682,200,4,absent,HKG,true
v0,measured,8,2026-09-08T14:47:27.795Z,194.093,193.902,200,4,absent,NRT,true
v1,measured,10,2026-09-08T14:47:27.997Z,47.783,47.378,200,785,HIT,KIX,true
v0,measured,9,2026-09-08T14:47:27.896Z,239.145,238.854,200,4,absent,HKG,true
v1,measured,11,2026-09-08T14:47:28.095Z,51.058,50.684,200,785,HIT,KIX,true
v1,measured,12,2026-09-08T14:47:28.204Z,51.532,51.382,200,785,HIT,KIX,true
v0,measured,10,2026-09-08T14:47:27.995Z,276.955,276.861,200,4,absent,HKG,true
v0,measured,11,2026-09-08T14:47:28.096Z,198.861,198.775,200,4,absent,NRT,true
v0,measured,12,2026-09-08T14:47:28.203Z,240.096,239.960,200,4,absent,HKG,true
v1,measured,13,2026-09-08T14:47:28.295Z,160.980,160.785,200,785,REVALIDATED,KIX,true
v1,measured,15,2026-09-08T14:47:28.494Z,67.479,67.386,200,785,HIT,KIX,true
v0,measured,13,2026-09-08T14:47:28.296Z,267.306,267.149,200,4,absent,HKG,true
v0,measured,14,2026-09-08T14:47:28.395Z,189.810,189.691,200,4,absent,NRT,true
v1,measured,14,2026-09-08T14:47:28.396Z,291.516,291.385,200,785,REVALIDATED,HKG,true
v1,measured,16,2026-09-08T14:47:28.597Z,93.949,93.886,200,785,HIT,KIX,true
v0,measured,15,2026-09-08T14:47:28.495Z,249.533,249.291,200,4,absent,HKG,true
v1,measured,17,2026-09-08T14:47:28.695Z,55.876,55.711,200,785,HIT,KIX,true
v1,measured,18,2026-09-08T14:47:28.796Z,87.031,86.810,200,785,HIT,KIX,true
v0,measured,17,2026-09-08T14:47:28.696Z,206.532,206.307,200,4,absent,NRT,true
v0,measured,16,2026-09-08T14:47:28.597Z,325.812,325.498,200,4,absent,HKG,true
v1,measured,19,2026-09-08T14:47:28.896Z,69.973,69.851,200,785,HIT,KIX,true
v0,measured,18,2026-09-08T14:47:28.796Z,244.678,244.602,200,4,absent,HKG,true
v1,measured,20,2026-09-08T14:47:28.996Z,51.066,50.970,200,785,HIT,KIX,true
v1,measured,21,2026-09-08T14:47:29.094Z,64.830,64.725,200,785,HIT,KIX,true
v0,measured,19,2026-09-08T14:47:28.897Z,274.834,274.645,200,4,absent,HKG,true
v1,measured,22,2026-09-08T14:47:29.196Z,50.960,50.777,200,785,HIT,KIX,true
v0,measured,20,2026-09-08T14:47:28.995Z,272.426,272.157,200,4,absent,HKG,true
v0,measured,21,2026-09-08T14:47:29.094Z,238.560,238.453,200,4,absent,HKG,true
v1,measured,23,2026-09-08T14:47:29.296Z,46.200,46.106,200,785,HIT,KIX,true
v0,measured,22,2026-09-08T14:47:29.195Z,185.956,185.861,200,4,absent,NRT,true
v1,measured,24,2026-09-08T14:47:29.396Z,53.173,53.025,200,785,HIT,KIX,true
v1,measured,25,2026-09-08T14:47:29.496Z,48.398,48.326,200,785,HIT,KIX,true
v0,measured,23,2026-09-08T14:47:29.296Z,276.656,276.584,200,4,absent,HKG,true
v0,measured,24,2026-09-08T14:47:29.395Z,222.263,222.182,200,4,absent,HKG,true
